strain_id,strain,genus,polysaccharide,polysaccharide_name,polysaccharide_source,source_kingdom,OD600_48h,OD600_48h_sd,n_rep,OD600_48h_batch1,OD600_48h_batch2
DA1209,Bacteroides_sartorii,Bacteroides,APs,Astragalus polysaccharides,Astragalus membranaceus,Plant,0.154,0.0485077313425396,3,0.154,
DA1209,Bacteroides_sartorii,Bacteroides,AdPs,Adenophora polysaccharides,Glehnia littoralis,Plant,0.30383333333333334,0.03267669913970299,6,0.29833333333333334,0.3093333333333333
DA1209,Bacteroides_sartorii,Bacteroides,AnPs,Angelica polysaccharides,Angelica sinensis,Plant,0.17933333333333334,0.014637850479720953,6,0.17233333333333334,0.18633333333333335
DA1209,Bacteroides_sartorii,Bacteroides,CPPs,Codonopsis pilosula polysaccharides,Codonopsis pilosula,Plant,0.451,0.029966648127543405,6,0.4766666666666666,0.42533333333333334
DA1209,Bacteroides_sartorii,Bacteroides,DPs_1,Dendrobe polysaccharides 1,Dendrobium officinale,Plant,0.08750000000000001,0.014000000000000002,3,0.08750000000000001,
DA1209,Bacteroides_sartorii,Bacteroides,DPs_2,Dendrobe polysaccharides 2,Dendrobium officinale,Plant,0.06799999999999999,0.011357816691600542,3,0.06799999999999999,
DA1209,Bacteroides_sartorii,Bacteroides,GLPs_1,Ganoderma lucidum polysaccharides 1,Ganoderma lucidum,Fungus,0.22216666666666665,0.01504437879519568,3,0.22216666666666665,
DA1209,Bacteroides_sartorii,Bacteroides,GLPs_2,Ganoderma lucidum polysaccharides 2,Ganoderma lucidum,Fungus,0.059666666666666666,0.0355715241918776,3,0.059666666666666666,
DA1209,Bacteroides_sartorii,Bacteroides,GPs,Ginseng polysaccharides,Panax ginseng,Plant,0.5366666666666666,0.02309942279221138,3,0.5366666666666666,
DA1209,Bacteroides_sartorii,Bacteroides,HAPs,Hovenia acerba polysaccharides,Hovenia acerba,Plant,-0.0003333333333333333,0.003559026084010437,6,-0.0013333333333333333,0.0006666666666666666
DA1209,Bacteroides_sartorii,Bacteroides,LBPs_1,Lycium barbarum polysaccharides 1,Lycium barbarum,Plant,0.12166666666666666,0.006658328118479393,3,0.12166666666666666,
DA1209,Bacteroides_sartorii,Bacteroides,LBPs_2,Lycium barbarum polysaccharides 2,Lycium barbarum,Plant,0.08133333333333333,0.015275252316519468,3,0.08133333333333333,
DA1209,Bacteroides_sartorii,Bacteroides,PLPs,Pueraria lobata polysaccharides,Pueraria lobata,Plant,-0.0008333333333333334,0.001834847859269718,6,-0.0006666666666666666,-0.001
DA1209,Bacteroides_sartorii,Bacteroides,PPs,Poria polysaccharides,Poria cocos,Fungus,0.12083333333333333,0.028840365231159383,6,0.13599999999999998,0.10566666666666667
DA1209,Bacteroides_sartorii,Bacteroides,PQPs,Panax Quinquefolium polysaccharides,Panax quinquefolium,Plant,0.24916666666666665,0.022202852669570783,6,0.2333333333333333,0.26499999999999996
DA1209,Bacteroides_sartorii,Bacteroides,PSPs,Polygonatum sibiricum polysaccharides,Polygonatum sibiricum,Plant,0.31416666666666665,0.008471520918150816,6,0.314,0.31433333333333335
DA1209,Bacteroides_sartorii,Bacteroides,RAPs,Rhizoma Anemarrhenae polysaccharides,Anemarrhena asphodeloides,Plant,0.24866666666666667,0.03642892623543365,6,0.248,0.24933333333333332
DA1209,Bacteroides_sartorii,Bacteroides,RNPs,Radix Notoginseng polysaccharides,Panax notoginseng,Plant,0.36000000000000004,0.019677398201998146,6,0.359,0.361
DA1209,Bacteroides_sartorii,Bacteroides,RPPs,Radix Pseudostellariae polysaccharides,Pseudostellaria heterophylla,Plant,0.2776666666666667,0.014109098719148096,6,0.2806666666666667,0.27466666666666667
DA1209,Bacteroides_sartorii,Bacteroides,SPs,Scrophulariaceae polysaccharide,Scrophularia ningpoensis,Plant,0.0295,0.015149257407543118,6,0.01933333333333333,0.03966666666666667
DA1247,Bacteroides_salyersiae,Bacteroides,APs,Astragalus polysaccharides,Astragalus membranaceus,Plant,0.09166666666666667,0.014433756729740649,3,0.09166666666666667,
DA1247,Bacteroides_salyersiae,Bacteroides,AdPs,Adenophora polysaccharides,Glehnia littoralis,Plant,0.54,0.02954995769878528,6,0.5216666666666666,0.5583333333333333
DA1247,Bacteroides_salyersiae,Bacteroides,AnPs,Angelica polysaccharides,Angelica sinensis,Plant,0.27666666666666667,0.02093481948015473,6,0.28400000000000003,0.26933333333333337
DA1247,Bacteroides_salyersiae,Bacteroides,CPPs,Codonopsis pilosula polysaccharides,Codonopsis pilosula,Plant,0.47333333333333333,0.017951787283350548,6,0.48533333333333334,0.4613333333333333
DA1247,Bacteroides_salyersiae,Bacteroides,DPs_1,Dendrobe polysaccharides 1,Dendrobium officinale,Plant,0.07916666666666666,0.017897858344878396,3,0.07916666666666666,
DA1247,Bacteroides_salyersiae,Bacteroides,DPs_2,Dendrobe polysaccharides 2,Dendrobium officinale,Plant,0.014333333333333332,0.010598742063723098,3,0.014333333333333332,
DA1247,Bacteroides_salyersiae,Bacteroides,GLPs_1,Ganoderma lucidum polysaccharides 1,Ganoderma lucidum,Fungus,0.03183333333333333,0.034385074281340924,3,0.03183333333333333,
DA1247,Bacteroides_salyersiae,Bacteroides,GLPs_2,Ganoderma lucidum polysaccharides 2,Ganoderma lucidum,Fungus,0.001,0.0017320508075688774,3,0.001,
DA1247,Bacteroides_salyersiae,Bacteroides,GPs,Ginseng polysaccharides,Panax ginseng,Plant,0.5498333333333333,0.015307950004273341,3,0.5498333333333333,
DA1247,Bacteroides_salyersiae,Bacteroides,HAPs,Hovenia acerba polysaccharides,Hovenia acerba,Plant,-0.0011666666666666668,0.003188521078284832,6,0.0013333333333333333,-0.0036666666666666666
DA1247,Bacteroides_salyersiae,Bacteroides,LBPs_1,Lycium barbarum polysaccharides 1,Lycium barbarum,Plant,0.16166666666666665,0.007637626158259743,3,0.16166666666666665,
DA1247,Bacteroides_salyersiae,Bacteroides,LBPs_2,Lycium barbarum polysaccharides 2,Lycium barbarum,Plant,0.20466666666666666,0.003055050463303884,3,0.20466666666666666,
