catnr,compound_name,hgpcr,rlu,z_score,smiles
CFN96657,Strictosidinic acid,5HT4B,2627.5,-0.6251519345579114,C=C[C@@H]1[C@@H](C(=CO[C@H]1O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)C(=O)O)C[C@H]3C4=C(CCN3)C5=CC=CC=C5N4
CFN89459,Geissoschizine methyl ether,5HT4B,2317.0,-1.3460792351344444,C/C=C\1/CN2CCC3=C([C@@H]2C[C@@H]1/C(=C/OC)/C(=O)OC)NC4=CC=CC=C34
CFN80224,3alpha-dihydrocadambine,5HT4B,2609.5,-0.6669448215478553,COC(=O)C1=CO[C@H]([C@H]2[C@@H]1C[C@H]3C4=C(CCN3C[C@H]2O)C5=CC=CC=C5N4)O[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)CO)O)O)O
CFN99219,"16-O-Methyl-14,15-didehydroisovincanol",5HT4B,3133.5,0.5496925552705126,CC[C@]12C[C@H](N3C4=CC=CC=C4C5=C3[C@H]1N(CC5)CC=C2)OC
CFN98712,N-Methylsarpagine methosalt,5HT4B,3090.5,0.44985399190564657,C/C=C\1/C[N+]2([C@H]3C[C@@H]1[C@H]([C@@H]2CC4=C3N(C5=C4C=C(C=C5)O)C)CO)C
CFN96749,Rauvotetraphylline D,5HT4B,3103.5,0.4800377436206061,CC1C(C2CC3N1C4C2C(C5(C4)C3=NC6=CC=CC=C56)OC(=O)C)C=CC(=O)C
CFN96148,Taberpsychine,5HT4B,2733.5,-0.37903826672824154,CC=C1CN(C2CC3=C(C4CC1C2CO4)NC5=CC=CC=C35)C
CFN96107,Apparicine,5HT4B,2751.5,-0.3372453797382976,C/C=C\1/CN2CC[C@@H]1C(=C)C3=C(C2)C4=CC=CC=C4N3
CFN91923,"16,17-Dihydroapovincamine",5HT4B,2886.5,-0.023798727313718075,CC[C@@]12CCCN3[C@@H]1C4=C(CC3)C5=CC=CC=C5N4C(C2)C(=O)OC
CFN90940,Calycanthine,5HT4B,2255.5,-1.4888715990167527,CN1CC[C@@]23[C@@H]4NC5=CC=CC=C5[C@@]2([C@@H]1NC6=CC=CC=C36)CCN4C
CFN89526,Isomitraphylline,5HT4B,2838.5,-0.1352464259535686,C[C@H]1[C@H]2CN3CC[C@@]4([C@@H]3C[C@@H]2C(=CO1)C(=O)OC)C5=CC=CC=C5NC4=O
CFN89492,Uncarine A,5HT4B,3257.5,0.8375991100901264,C[C@@H]1[C@H]2CN3CC[C@@]4([C@@H]3C[C@@H]2C(=CO1)C(=O)OC)C5=CC=CC=C5NC4=O
CFN89451,Rauvovertine A,5HT4B,2415.0,-1.1185401837447495,C[C@@H]1[C@H]2[C@@H]3C[C@H]4C5=C(C[C@@H](C3C(O1)O)N4[C@@H]2O)C6=CC=CC=C6N5
CFN89450,Rauvovertine C,5HT4B,2541.0,-0.825989974815142,C[C@H]1[C@H]2C=N[C@H](C3[C@@H]2C[C@@H]4N1[C@H]3CC5=C4NC6=CC=CC=C56)OC
CFN89449,Rauvovertine B,5HT4B,3022.5,0.29196975216585835,C[C@H]1[C@H]2COC(C3[C@@H]2C[C@@H]4N1[C@H]3CC5=C4NC6=C5C=C(C=C6)O)O
CFN00179,Alkaloid C,5HT4B,2436.5,-1.0686209020623165,CN1[C@H]2C[C@@H]([C@@H]([C@@H]1C[C@H]2OC(=O)C3=CC=CC=C3)CC4=CC=CC=C4)O
CFN70394,Yohimbic acid monohydrate,5HT4B,2729.0,-0.38948648847572753,C1C[C@@H]([C@@H]([C@@H]2[C@@H]1CN3CCC4=C([C@@H]3C2)NC5=CC=CC=C45)C(=O)O)O
CFN89271,Epicorynoxidine,5HT4B,2739.5,-0.3651073043982602,COC1=C(C2=C(C[C@H]3C4=CC(=C(C=C4CC[N@+]3(C2)[O-])OC)OC)C=C1)OC
CFN97304,Humantenmine,5HT4B,2817.0,-0.1851657076360016,CCC1=N[C@H]2C[C@@]3([C@H]4C[C@@H]1[C@@H]2CO4)C5=CC=CC=C5N(C3=O)OC
CFN97275,Methyl demethoxycarbonylchanofruticosinate,5HT4B,2093.0,-1.8661684954537467,COC(=O)[C@]12CC[C@@]34CCCN5[C@@H]3[C@@]1([C@H](C5)C(=O)C4)C6=CC=CC=C6N2
