lipid_id,head,amino_acid,tail,amino_acid_full,aa_proteinogenic,head_description,log2_luc_pred,log2_luc_paper,log2_is_paper_verified,below_heatmap_floor,R,G,B,size_px,darkness
CHCha-3,CH,Cha,3,β-cyclohexylalanine,0,"cyclic head (cyclohexyl- isocyanide, rigid)",10.486623072474067,,0,0,197.1974716652136,159.88622493461204,193.54163034001743,4588,52.60604166666667
CHCha-4,CH,Cha,4,β-cyclohexylalanine,0,"cyclic head (cyclohexyl- isocyanide, rigid)",5.0,,0,1,204.2777292576419,194.00029112081515,215.4410480349345,3435,29.19932291666663
CHCha-5,CH,Cha,5,β-cyclohexylalanine,0,"cyclic head (cyclohexyl- isocyanide, rigid)",8.429856497231558,,0,0,204.9502840909091,174.5262784090909,204.9502840909091,4224,41.54401041666668
CHCha-6,CH,Cha,6,β-cyclohexylalanine,0,"cyclic head (cyclohexyl- isocyanide, rigid)",7.933880104616751,,0,0,206.60024183796855,177.9746070133011,206.60024183796855,4135,39.36489583333335
CHCha-7,CH,Cha,7,β-cyclohexylalanine,0,"cyclic head (cyclohexyl- isocyanide, rigid)",8.39638964894338,,0,0,205.03722143195827,174.68895211000475,205.03722143195827,4218,41.47760416666665
CHCha-8,CH,Cha,8,β-cyclohexylalanine,0,"cyclic head (cyclohexyl- isocyanide, rigid)",5.0,,0,1,205.88682480708775,193.7585024292655,215.2532152043441,3499,29.50515625
CHCha-9,CH,Cha,9,β-cyclohexylalanine,0,"cyclic head (cyclohexyl- isocyanide, rigid)",5.0,,0,1,208.73414566602048,191.87898089171975,216.21656050955414,3611,29.986770833333367
CHCha-10,CH,Cha,10,β-cyclohexylalanine,0,"cyclic head (cyclohexyl- isocyanide, rigid)",17.82885928093717,17.8231868,1,0,143.73002380142808,58.945596735804145,122.31961917715063,5882,135.31651041666666
CHCha-11,CH,Cha,11,β-cyclohexylalanine,0,"cyclic head (cyclohexyl- isocyanide, rigid)",6.235146828512928,,0,0,210.6599739243807,187.20286831812257,214.33350717079531,3835,32.64317708333331
CHCha-12,CH,Cha,12,β-cyclohexylalanine,0,"cyclic head (cyclohexyl- isocyanide, rigid)",5.0,,0,1,198.35509056839476,197.4063085571518,213.99188007495314,3202,28.039583333333354
CHCha-13,CH,Cha,13,β-cyclohexylalanine,0,"cyclic head (cyclohexyl- isocyanide, rigid)",5.0,,0,1,207.70807453416148,192.8020892151327,216.14935064935065,3542,29.48124999999999
CHCha-14,CH,Cha,14,β-cyclohexylalanine,0,"cyclic head (cyclohexyl- isocyanide, rigid)",5.0,,0,1,186.89094339622642,201.51207547169813,211.58264150943396,2650,25.13843750000001
CHCha-15,CH,Cha,15,β-cyclohexylalanine,0,"cyclic head (cyclohexyl- isocyanide, rigid)",5.370423752780116,,0,1,211.458989679522,191.70043454644215,217.07631721890277,3682,29.93619791666663
CHCha-16,CH,Cha,16,β-cyclohexylalanine,0,"cyclic head (cyclohexyl- isocyanide, rigid)",7.397012086257757,,0,0,207.36921554070776,180.4622618163821,209.21133382826034,4041,37.33125000000004
CHCit-1,CH,Cit,1,citrulline,0,"cyclic head (cyclohexyl- isocyanide, rigid)",5.0,,0,1,165.04598490048045,211.0178448867536,209.3095401509952,1457,16.580833333333317
CHCit-2,CH,Cit,2,citrulline,0,"cyclic head (cyclohexyl- isocyanide, rigid)",5.0,,0,1,172.24731732243228,207.57485947879408,210.25447112927952,1957,20.41302083333332
CHCit-3,CH,Cit,3,citrulline,0,"cyclic head (cyclohexyl- isocyanide, rigid)",5.0,,0,1,177.5720053835801,205.32122027815163,210.6509645580978,2229,22.36281249999999
CHCit-4,CH,Cit,4,citrulline,0,"cyclic head (cyclohexyl- isocyanide, rigid)",5.0,,0,1,166.5908209437621,210.0917905623788,209.22818358112477,1547,17.314479166666644
CHCit-5,CH,Cit,5,citrulline,0,"cyclic head (cyclohexyl- isocyanide, rigid)",5.0,,0,1,165.20701754385965,211.11368421052632,209.4021052631579,1425,16.23760416666667
CHCit-6,CH,Cit,6,citrulline,0,"cyclic head (cyclohexyl- isocyanide, rigid)",5.0,,0,1,162.95081967213116,214.8719262295082,209.98155737704917,976,12.215104166666634
CHCit-7,CH,Cit,7,citrulline,0,"cyclic head (cyclohexyl- isocyanide, rigid)",5.0,,0,1,162.84760112888054,213.6095954844779,210.30479774223895,1063,12.940312500000005
CHCit-8,CH,Cit,8,citrulline,0,"cyclic head (cyclohexyl- isocyanide, rigid)",5.0,,0,1,163.96299275945293,212.9251810136766,209.59533386967016,1243,14.509270833333346
CHCit-9,CH,Cit,9,citrulline,0,"cyclic head (cyclohexyl- isocyanide, rigid)",5.0,,0,1,199.77873651771958,196.07118644067796,214.61140215716486,3245,28.330624999999998
CHCit-10,CH,Cit,10,citrulline,0,"cyclic head (cyclohexyl- isocyanide, rigid)",8.16793325313835,,0,0,205.6894900646397,176.1165908546804,205.6894900646397,4177,40.42645833333336
CHCit-11,CH,Cit,11,citrulline,0,"cyclic head (cyclohexyl- isocyanide, rigid)",5.0,,0,1,186.686751497006,202.0744760479042,211.9876497005988,2672,25.12854166666665
CHCit-12,CH,Cit,12,citrulline,0,"cyclic head (cyclohexyl- isocyanide, rigid)",5.0,,0,1,166.70444301352222,210.16226658081132,209.26400515132002,1553,17.336562500000014
CHCit-13,CH,Cit,13,citrulline,0,"cyclic head (cyclohexyl- isocyanide, rigid)",5.0,,0,1,172.23104880581516,207.5944963655244,210.24818276220145,1926,20.13822916666669
CHCit-14,CH,Cit,14,citrulline,0,"cyclic head (cyclohexyl- isocyanide, rigid)",5.0,,0,1,166.90372272143773,210.26893453145058,209.35430038510913,1558,17.30651041666664
CHCit-15,CH,Cit,15,citrulline,0,"cyclic head (cyclohexyl- isocyanide, rigid)",5.0,,0,1,184.296875,203.12578125,212.145703125,2560,24.395416666666648
CHCit-16,CH,Cit,16,citrulline,0,"cyclic head (cyclohexyl- isocyanide, rigid)",5.0,,0,1,197.82229299363058,196.90254777070064,213.6471337579618,3140,27.889531250000005
CHCth-1,CH,Cth,1,cystathionine,0,"cyclic head (cyclohexyl- isocyanide, rigid)",5.0,,0,1,170.08753462603877,208.76952908587256,209.65373961218836,1805,19.28203124999999
CHCth-2,CH,Cth,2,cystathionine,0,"cyclic head (cyclohexyl- isocyanide, rigid)",5.0,,0,1,196.5012853470437,197.40199228791775,214.00803341902315,3112,27.68541666666664
